idEvent,strTimestamp,Round,Home Team,Home Score,Away Team,Away Score,Poster,Thumb
2390811,2026-05-03 04:00:00,Round 0,Fukuoka SoftBank Hawks,,Tohoku Rakuten Golden Eagles,,,https://r2.thesportsdb.com/images/media/event/thumb/5t30lh1648817673.jpg
2390807,2026-05-03 04:30:00,Round 0,Hiroshima Toyo Carp,,Chunichi Dragons,,,https://r2.thesportsdb.com/images/media/event/thumb/wy09dg1648817499.jpg
2390810,2026-05-03 05:00:00,Round 0,Hanshin Tigers,,Yomiuri Giants,,,https://r2.thesportsdb.com/images/media/event/thumb/h86fqk1648817525.jpg
2390812,2026-05-03 05:00:00,Round 0,Chiba Lotte Marines,,Saitama Seibu Lions,,,https://r2.thesportsdb.com/images/media/event/thumb/wvjfsh1648817678.jpg
2390808,2026-05-03 09:00:00,Round 0,Tokyo Yakult Swallows,,Yokohama DeNA BayStars,,,https://r2.thesportsdb.com/images/media/event/thumb/8tjw0b1648817528.jpg
2390813,2026-05-04 05:30:00,Round 0,Chunichi Dragons,,Hanshin Tigers,,,https://r2.thesportsdb.com/images/media/event/thumb/auzwfd1648817501.jpg
2390817,2026-05-04 06:00:00,Round 0,Yokohama DeNA BayStars,,Hiroshima Toyo Carp,,,https://r2.thesportsdb.com/images/media/event/thumb/ljo7421648817506.jpg
2390814,2026-05-04 09:00:00,Round 0,Orix Buffaloes,,Chiba Lotte Marines,,,https://r2.thesportsdb.com/images/media/event/thumb/90g0v81648817684.jpg
2390815,2026-05-04 09:00:00,Round 0,Tohoku Rakuten Golden Eagles,,Hokkaido Nippon-Ham Fighters,,,https://r2.thesportsdb.com/images/media/event/thumb/xhhs5h1648817685.jpg
2390816,2026-05-04 09:00:00,Round 0,Saitama Seibu Lions,,Fukuoka SoftBank Hawks,,,https://r2.thesportsdb.com/images/media/event/thumb/ik38gv1648817688.jpg
2390818,2026-05-04 09:00:00,Round 0,Yomiuri Giants,,Tokyo Yakult Swallows,,,https://r2.thesportsdb.com/images/media/event/thumb/53kwrd1648817499.jpg
2390819,2026-05-05 05:00:00,Round 0,Chunichi Dragons,,Hanshin Tigers,,,https://r2.thesportsdb.com/images/media/event/thumb/auzwfd1648817501.jpg
2390820,2026-05-05 05:00:00,Round 0,Orix Buffaloes,,Chiba Lotte Marines,,,https://r2.thesportsdb.com/images/media/event/thumb/90g0v81648817684.jpg
2390821,2026-05-05 05:00:00,Round 0,Tohoku Rakuten Golden Eagles,,Hokkaido Nippon-Ham Fighters,,,https://r2.thesportsdb.com/images/media/event/thumb/xhhs5h1648817685.jpg
2390822,2026-05-05 05:00:00,Round 0,Saitama Seibu Lions,,Fukuoka SoftBank Hawks,,,https://r2.thesportsdb.com/images/media/event/thumb/ik38gv1648817688.jpg
2390823,2026-05-05 05:00:00,Round 0,Yokohama DeNA BayStars,,Hiroshima Toyo Carp,,,https://r2.thesportsdb.com/images/media/event/thumb/ljo7421648817506.jpg
2390824,2026-05-05 05:00:00,Round 0,Yomiuri Giants,,Tokyo Yakult Swallows,,,https://r2.thesportsdb.com/images/media/event/thumb/53kwrd1648817499.jpg
2390827,2026-05-06 04:00:00,Round 0,Orix Buffaloes,,Chiba Lotte Marines,,,https://r2.thesportsdb.com/images/media/event/thumb/90g0v81648817684.jpg
2390828,2026-05-06 04:00:00,Round 0,Saitama Seibu Lions,,Fukuoka SoftBank Hawks,,,https://r2.thesportsdb.com/images/media/event/thumb/ik38gv1648817688.jpg
2390825,2026-05-06 05:00:00,Round 0,Yokohama DeNA BayStars,,Hiroshima Toyo Carp,,,https://r2.thesportsdb.com/images/media/event/thumb/ljo7421648817506.jpg
2390826,2026-05-06 05:00:00,Round 0,Yomiuri Giants,,Tokyo Yakult Swallows,,,https://r2.thesportsdb.com/images/media/event/thumb/53kwrd1648817499.jpg
2390829,2026-05-06 05:00:00,Round 0,Tohoku Rakuten Golden Eagles,,Hokkaido Nippon-Ham Fighters,,,https://r2.thesportsdb.com/images/media/event/thumb/xhhs5h1648817685.jpg
2390830,2026-05-06 05:00:00,Round 0,Chunichi Dragons,,Hanshin Tigers,,,https://r2.thesportsdb.com/images/media/event/thumb/auzwfd1648817501.jpg
2390831,2026-05-08 09:00:00,Round 0,Orix Buffaloes,,Hokkaido Nippon-Ham Fighters,,,https://r2.thesportsdb.com/images/media/event/thumb/vl99t21648817679.jpg
2390832,2026-05-08 09:00:00,Round 0,Saitama Seibu Lions,,Tohoku Rakuten Golden Eagles,,,https://r2.thesportsdb.com/images/media/event/thumb/gupoml1648817684.jpg
2390833,2026-05-08 09:00:00,Round 0,Chunichi Dragons,,Yomiuri Giants,,,https://r2.thesportsdb.com/images/media/event/thumb/x09s8v1648817530.jpg
2390834,2026-05-08 09:00:00,Round 0,Hiroshima Toyo Carp,,Tokyo Yakult Swallows,,,https://r2.thesportsdb.com/images/media/event/thumb/wq28m81648817465.jpg
2390835,2026-05-08 09:00:00,Round 0,Fukuoka SoftBank Hawks,,Chiba Lotte Marines,,,https://r2.thesportsdb.com/images/media/event/thumb/tphh2k1648817687.jpg
2390836,2026-05-08 09:00:00,Round 0,Hanshin Tigers,,Yokohama DeNA BayStars,,,https://r2.thesportsdb.com/images/media/event/thumb/ya61li1648817478.jpg
2390837,2026-05-09 05:00:00,Round 0,Orix Buffaloes,,Hokkaido Nippon-Ham Fighters,,,https://r2.thesportsdb.com/images/media/event/thumb/vl99t21648817679.jpg
2390838,2026-05-09 05:00:00,Round 0,Saitama Seibu Lions,,Tohoku Rakuten Golden Eagles,,,https://r2.thesportsdb.com/images/media/event/thumb/gupoml1648817684.jpg
2390839,2026-05-09 05:00:00,Round 0,Hanshin Tigers,,Yokohama DeNA BayStars,,,https://r2.thesportsdb.com/images/media/event/thumb/ya61li1648817478.jpg
2390840,2026-05-09 05:00:00,Round 0,Fukuoka SoftBank Hawks,,Chiba Lotte Marines,,,https://r2.thesportsdb.com/images/media/event/thumb/tphh2k1648817687.jpg
2390841,2026-05-09 05:00:00,Round 0,Chunichi Dragons,,Yomiuri Giants,,,https://r2.thesportsdb.com/images/media/event/thumb/x09s8v1648817530.jpg
2390842,2026-05-09 05:00:00,Round 0,Hiroshima Toyo Carp,,Tokyo Yakult Swallows,,,https://r2.thesportsdb.com/images/media/event/thumb/wq28m81648817465.jpg
2390847,2026-05-10 04:00:00,Round 0,Orix Buffaloes,,Hokkaido Nippon-Ham Fighters,,,https://r2.thesportsdb.com/images/media/event/thumb/vl99t21648817679.jpg
2390843,2026-05-10 04:30:00,Round 0,Chunichi Dragons,,Yomiuri Giants,,,https://r2.thesportsdb.com/images/media/event/thumb/x09s8v1648817530.jpg
2390846,2026-05-10 04:30:00,Round 0,Hiroshima Toyo Carp,,Tokyo Yakult Swallows,,,https://r2.thesportsdb.com/images/media/event/thumb/wq28m81648817465.jpg
2390844,2026-05-10 05:00:00,Round 0,Fukuoka SoftBank Hawks,,Chiba Lotte Marines,,,https://r2.thesportsdb.com/images/media/event/thumb/tphh2k1648817687.jpg
2390845,2026-05-10 05:00:00,Round 0,Hanshin Tigers,,Yokohama DeNA BayStars,,,https://r2.thesportsdb.com/images/media/event/thumb/ya61li1648817478.jpg
2390848,2026-05-10 05:00:00,Round 0,Saitama Seibu Lions,,Tohoku Rakuten Golden Eagles,,,https://r2.thesportsdb.com/images/media/event/thumb/gupoml1648817684.jpg
2390849,2026-05-12 09:00:00,Round 0,Tokyo Yakult Swallows,,Hanshin Tigers,,,https://r2.thesportsdb.com/images/media/event/thumb/iko8b21648817502.jpg
2390850,2026-05-12 09:00:00,Round 0,Yomiuri Giants,,Hiroshima Toyo Carp,,,https://r2.thesportsdb.com/images/media/event/thumb/o8mc471648817502.jpg
2390851,2026-05-12 09:00:00,Round 0,Yokohama DeNA BayStars,,Chunichi Dragons,,,https://r2.thesportsdb.com/images/media/event/thumb/x4b14j1648817485.jpg
2390852,2026-05-12 09:00:00,Round 0,Tohoku Rakuten Golden Eagles,,Orix Buffaloes,,,https://r2.thesportsdb.com/images/media/event/thumb/hhc48k1648817686.jpg
2390853,2026-05-12 09:00:00,Round 0,Chiba Lotte Marines,,Hokkaido Nippon-Ham Fighters,,,https://r2.thesportsdb.com/images/media/event/thumb/kw8ly01648817678.jpg
2390854,2026-05-12 09:00:00,Round 0,Fukuoka SoftBank Hawks,,Saitama Seibu Lions,,,https://r2.thesportsdb.com/images/media/event/thumb/yueb7p1648817677.jpg
2390855,2026-05-13 09:00:00,Round 0,Chiba Lotte Marines,,Hokkaido Nippon-Ham Fighters,,,https://r2.thesportsdb.com/images/media/event/thumb/kw8ly01648817678.jpg
2390856,2026-05-13 09:00:00,Round 0,Fukuoka SoftBank Hawks,,Saitama Seibu Lions,,,https://r2.thesportsdb.com/images/media/event/thumb/yueb7p1648817677.jpg
2390857,2026-05-13 09:00:00,Round 0,Tokyo Yakult Swallows,,Hanshin Tigers,,,https://r2.thesportsdb.com/images/media/event/thumb/iko8b21648817502.jpg
2390858,2026-05-13 09:00:00,Round 0,Yokohama DeNA BayStars,,Chunichi Dragons,,,https://r2.thesportsdb.com/images/media/event/thumb/x4b14j1648817485.jpg
2390859,2026-05-13 09:00:00,Round 0,Yomiuri Giants,,Hiroshima Toyo Carp,,,https://r2.thesportsdb.com/images/media/event/thumb/o8mc471648817502.jpg
2390861,2026-05-14 04:00:00,Round 0,Tohoku Rakuten Golden Eagles,,Orix Buffaloes,,,https://r2.thesportsdb.com/images/media/event/thumb/hhc48k1648817686.jpg
2390860,2026-05-14 09:00:00,Round 0,Chiba Lotte Marines,,Hokkaido Nippon-Ham Fighters,,,https://r2.thesportsdb.com/images/media/event/thumb/kw8ly01648817678.jpg
2390862,2026-05-14 09:00:00,Round 0,Yokohama DeNA BayStars,,Chunichi Dragons,,,https://r2.thesportsdb.com/images/media/event/thumb/x4b14j1648817485.jpg
2390863,2026-05-15 04:00:00,Round 0,Tohoku Rakuten Golden Eagles,,Fukuoka SoftBank Hawks,,,https://r2.thesportsdb.com/images/media/event/thumb/zpjfsv1648817679.jpg
2390864,2026-05-15 09:00:00,Round 0,Yomiuri Giants,,Yokohama DeNA BayStars,,,https://r2.thesportsdb.com/images/media/event/thumb/7op0zn1648817502.jpg
2390865,2026-05-15 09:00:00,Round 0,Chunichi Dragons,,Tokyo Yakult Swallows,,,https://r2.thesportsdb.com/images/media/event/thumb/gpb7oi1648817513.jpg
